path;link;size;format;origem
3D Sonic the Hedgehog (USA).zip;https://archive.org/download/3dscia_202310/3D Sonic the Hedgehog (USA).zip;8.80 MiB;zip;archive-3dscia_202310
Animal Crossing New Leaf - Welcome amiibo (USA).zip;https://archive.org/download/3dscia_202310/Animal Crossing New Leaf - Welcome amiibo (USA).zip;890.04 MiB;zip;archive-3dscia_202310
Attack of the Friday Monsters! A Tokyo Tale (USA).zip;https://archive.org/download/3dscia_202310/Attack of the Friday Monsters! A Tokyo Tale (USA).zip;177.88 MiB;zip;archive-3dscia_202310
Azure Striker Gunvolt - Striker Pack (USA).zip;https://archive.org/download/3dscia_202310/Azure Striker Gunvolt - Striker Pack (USA).zip;884.47 MiB;zip;archive-3dscia_202310
Ben 10 - Omniverse (USA).zip;https://archive.org/download/3dscia_202310/Ben 10 - Omniverse (USA).zip;85.45 MiB;zip;archive-3dscia_202310
Ben 10 - Omniverse 2 (USA).zip;https://archive.org/download/3dscia_202310/Ben 10 - Omniverse 2 (USA).zip;80.56 MiB;zip;archive-3dscia_202310
Bokujou Monogatari - 3-tsu no Sato no Taisetsu na Tomodachi (JPN).zip;https://archive.org/download/3dscia_202310/Bokujou Monogatari - 3-tsu no Sato no Taisetsu na Tomodachi (JPN).zip;674.10 MiB;zip;archive-3dscia_202310
Bravely Default (USA).zip;https://archive.org/download/3dscia_202310/Bravely Default (USA).zip;3.23 GiB;zip;archive-3dscia_202310
Bravely Second - End Layer (USA).zip;https://archive.org/download/3dscia_202310/Bravely Second - End Layer (USA).zip;2.48 GiB;zip;archive-3dscia_202310
Captain Toad - Treasure Tracker (USA).zip;https://archive.org/download/3dscia_202310/Captain Toad - Treasure Tracker (USA).zip;426.93 MiB;zip;archive-3dscia_202310
Conception II - Children of the Seven Stars (USA).zip;https://archive.org/download/3dscia_202310/Conception II - Children of the Seven Stars (USA).zip;1.19 GiB;zip;archive-3dscia_202310
Cooking Mama 4 - Kitchen Magic (USA) (Rev 1).zip;https://archive.org/download/3dscia_202310/Cooking Mama 4 - Kitchen Magic (USA) (Rev 1).zip;212.00 MiB;zip;archive-3dscia_202310
Crashmo (USA).zip;https://archive.org/download/3dscia_202310/Crashmo (USA).zip;20.36 MiB;zip;archive-3dscia_202310
Detective Pikachu (USA).zip;https://archive.org/download/3dscia_202310/Detective Pikachu (USA).zip;1.72 GiB;zip;archive-3dscia_202310
Digimon World Re-Digitize Decode (JPN).zip;https://archive.org/download/3dscia_202310/Digimon World Re-Digitize Decode (JPN).zip;713.20 MiB;zip;archive-3dscia_202310
Dillon's Rolling Western (USA).zip;https://archive.org/download/3dscia_202310/Dillon's Rolling Western (USA).zip;46.42 MiB;zip;archive-3dscia_202310
Dillon's Rolling Western - The Last Ranger (USA).zip;https://archive.org/download/3dscia_202310/Dillon's Rolling Western - The Last Ranger (USA).zip;286.22 MiB;zip;archive-3dscia_202310
Donkey Kong Country Returns 3D (USA).zip;https://archive.org/download/3dscia_202310/Donkey Kong Country Returns 3D (USA).zip;2.16 GiB;zip;archive-3dscia_202310
Etrian Odyssey 2 Untold - The Fafnir Knight (USA).zip;https://archive.org/download/3dscia_202310/Etrian Odyssey 2 Untold - The Fafnir Knight (USA).zip;916.47 MiB;zip;archive-3dscia_202310
Etrian Odyssey Untold - The Millennium Girl (USA).zip;https://archive.org/download/3dscia_202310/Etrian Odyssey Untold - The Millennium Girl (USA).zip;784.78 MiB;zip;archive-3dscia_202310
Ever Oasis (USA).zip;https://archive.org/download/3dscia_202310/Ever Oasis (USA).zip;790.10 MiB;zip;archive-3dscia_202310
F1 2011 (USA).zip;https://archive.org/download/3dscia_202310/F1 2011 (USA).zip;848.95 MiB;zip;archive-3dscia_202310
Fantasy Life (USA).zip;https://archive.org/download/3dscia_202310/Fantasy Life (USA).zip;856.55 MiB;zip;archive-3dscia_202310
Fire Emblem Awakening (USA).zip;https://archive.org/download/3dscia_202310/Fire Emblem Awakening (USA).zip;1.16 GiB;zip;archive-3dscia_202310
Fire Emblem Fates - Special Edition (USA).zip;https://archive.org/download/3dscia_202310/Fire Emblem Fates - Special Edition (USA).zip;1.70 GiB;zip;archive-3dscia_202310
Fire Emblem Warriors (USA).zip;https://archive.org/download/3dscia_202310/Fire Emblem Warriors (USA).zip;4.10 GiB;zip;archive-3dscia_202310
Flipnote Studio 3D (USA).zip;https://archive.org/download/3dscia_202310/Flipnote Studio 3D (USA).zip;7.30 MiB;zip;archive-3dscia_202310
Hyrule Warriors Legends (USA).zip;https://archive.org/download/3dscia_202310/Hyrule Warriors Legends (USA).zip;1.97 GiB;zip;archive-3dscia_202310
Kid Icarus - Uprising (USA).zip;https://archive.org/download/3dscia_202310/Kid Icarus - Uprising (USA).zip;1.57 GiB;zip;archive-3dscia_202310
Kingdom Hearts 3D - Dream Drop Distance (USA).zip;https://archive.org/download/3dscia_202310/Kingdom Hearts 3D - Dream Drop Distance (USA).zip;1.76 GiB;zip;archive-3dscia_202310
Kirby - Triple Deluxe (USA).zip;https://archive.org/download/3dscia_202310/Kirby - Triple Deluxe (USA).zip;595.07 MiB;zip;archive-3dscia_202310
Kirby's Extra Epic Yarn (USA).zip;https://archive.org/download/3dscia_202310/Kirby's Extra Epic Yarn (USA).zip;1.42 GiB;zip;archive-3dscia_202310
Kirby- Planet Robobot (USA).zip;https://archive.org/download/3dscia_202310/Kirby- Planet Robobot (USA).zip;664.17 MiB;zip;archive-3dscia_202310
LEGO Batman - The Videogame (USA).zip;https://archive.org/download/3dscia_202310/LEGO Batman - The Videogame (USA).zip;48.52 MiB;zip;archive-3dscia_202310
LEGO Batman 2 - DC Super Heroes (USA).zip;https://archive.org/download/3dscia_202310/LEGO Batman 2 - DC Super Heroes (USA).zip;415.99 MiB;zip;archive-3dscia_202310
LEGO Batman 3 - Beyond Gotham (USA).zip;https://archive.org/download/3dscia_202310/LEGO Batman 3 - Beyond Gotham (USA).zip;410.62 MiB;zip;archive-3dscia_202310
LEGO City Undercover - The Chase Begins (USA).zip;https://archive.org/download/3dscia_202310/LEGO City Undercover - The Chase Begins (USA).zip;735.73 MiB;zip;archive-3dscia_202310
LEGO Harry Potter - Years 5-7 (USA).zip;https://archive.org/download/3dscia_202310/LEGO Harry Potter - Years 5-7 (USA).zip;469.35 MiB;zip;archive-3dscia_202310
LEGO Jurassic World (USA).zip;https://archive.org/download/3dscia_202310/LEGO Jurassic World (USA).zip;455.05 MiB;zip;archive-3dscia_202310
LEGO Marvel Super Heroes - Universe in Peril (USA).zip;https://archive.org/download/3dscia_202310/LEGO Marvel Super Heroes - Universe in Peril (USA).zip;427.00 MiB;zip;archive-3dscia_202310
LEGO Ninjago - Shadow of Ronin (USA).zip;https://archive.org/download/3dscia_202310/LEGO Ninjago - Shadow of Ronin (USA).zip;427.62 MiB;zip;archive-3dscia_202310
LEGO Pirates of the Caribbean - The Video Game (USA).zip;https://archive.org/download/3dscia_202310/LEGO Pirates of the Caribbean - The Video Game (USA).zip;406.86 MiB;zip;archive-3dscia_202310
LEGO Star Wars - The Force Awakens (USA).zip;https://archive.org/download/3dscia_202310/LEGO Star Wars - The Force Awakens (USA).zip;458.02 MiB;zip;archive-3dscia_202310
LEGO Star Wars III - The Clone Wars (USA).zip;https://archive.org/download/3dscia_202310/LEGO Star Wars III - The Clone Wars (USA).zip;463.95 MiB;zip;archive-3dscia_202310
LEGO The Hobbit (USA).zip;https://archive.org/download/3dscia_202310/LEGO The Hobbit (USA).zip;450.35 MiB;zip;archive-3dscia_202310
Luigi's Mansion (USA).zip;https://archive.org/download/3dscia_202310/Luigi's Mansion (USA).zip;221.48 MiB;zip;archive-3dscia_202310
Luigi's Mansion - Dark Moon (USA).zip;https://archive.org/download/3dscia_202310/Luigi's Mansion - Dark Moon (USA).zip;842.78 MiB;zip;archive-3dscia_202310
METROID Samus Returns (USA).zip;https://archive.org/download/3dscia_202310/METROID Samus Returns (USA).zip;681.47 MiB;zip;archive-3dscia_202310
Mario & Luigi - Dream Team (USA).zip;https://archive.org/download/3dscia_202310/Mario & Luigi - Dream Team (USA).zip;867.82 MiB;zip;archive-3dscia_202310
Mario Golf - World Tour (USA).zip;https://archive.org/download/3dscia_202310/Mario Golf - World Tour (USA).zip;525.38 MiB;zip;archive-3dscia_202310
Mario Kart 7 (USA) (Rev 1).zip;https://archive.org/download/3dscia_202310/Mario Kart 7 (USA) (Rev 1).zip;634.32 MiB;zip;archive-3dscia_202310
Mario Tennis Open (USA) (Rev 1).zip;https://archive.org/download/3dscia_202310/Mario Tennis Open (USA) (Rev 1).zip;251.25 MiB;zip;archive-3dscia_202310
Metroid - Samus Returns (USA).zip;https://archive.org/download/3dscia_202310/Metroid - Samus Returns (USA).zip;681.46 MiB;zip;archive-3dscia_202310
Miitopia (USA).zip;https://archive.org/download/3dscia_202310/Miitopia (USA).zip;857.15 MiB;zip;archive-3dscia_202310
Minecraft - New Nintendo 3DS Edition (USA).zip;https://archive.org/download/3dscia_202310/Minecraft - New Nintendo 3DS Edition (USA).zip;466.85 MiB;zip;archive-3dscia_202310
Mom Hid My Game! (USA).zip;https://archive.org/download/3dscia_202310/Mom Hid My Game! (USA).zip;74.43 MiB;zip;archive-3dscia_202310
Monster Hunter 3 Ultimate (USA).zip;https://archive.org/download/3dscia_202310/Monster Hunter 3 Ultimate (USA).zip;1.74 GiB;zip;archive-3dscia_202310
Monster Hunter 4 Ultimate (USA).zip;https://archive.org/download/3dscia_202310/Monster Hunter 4 Ultimate (USA).zip;2.58 GiB;zip;archive-3dscia_202310
Monster Hunter Generations (USA).zip;https://archive.org/download/3dscia_202310/Monster Hunter Generations (USA).zip;1.52 GiB;zip;archive-3dscia_202310
Monster Hunter Stories (USA).zip;https://archive.org/download/3dscia_202310/Monster Hunter Stories (USA).zip;1.80 GiB;zip;archive-3dscia_202310
New Super Mario Bros. (USA).zip;https://archive.org/download/3dscia_202310/New Super Mario Bros. (USA).zip;13.79 MiB;zip;archive-3dscia_202310
New Super Mario Bros. 2 (USA).zip;https://archive.org/download/3dscia_202310/New Super Mario Bros. 2 (USA).zip;340.99 MiB;zip;archive-3dscia_202310
Paper Mario - Sticker Star (USA).zip;https://archive.org/download/3dscia_202310/Paper Mario - Sticker Star (USA).zip;524.46 MiB;zip;archive-3dscia_202310
Persona Q - Shadow of the Labyrinth (USA).zip;https://archive.org/download/3dscia_202310/Persona Q - Shadow of the Labyrinth (USA).zip;1.73 GiB;zip;archive-3dscia_202310
Persona Q2 - New Cinema Labyrinth (USA).zip;https://archive.org/download/3dscia_202310/Persona Q2 - New Cinema Labyrinth (USA).zip;2.70 GiB;zip;archive-3dscia_202310
Phoenix Wright - Ace Attorney - Dual Destinies (USA).zip;https://archive.org/download/3dscia_202310/Phoenix Wright - Ace Attorney - Dual Destinies (USA).zip;573.77 MiB;zip;archive-3dscia_202310
Phoenix Wright - Ace Attorney Trilogy (USA).zip;https://archive.org/download/3dscia_202310/Phoenix Wright - Ace Attorney Trilogy (USA).zip;367.35 MiB;zip;archive-3dscia_202310
Phoenix Wright Ace Attorney - Spirit of Justice (USA).zip;https://archive.org/download/3dscia_202310/Phoenix Wright Ace Attorney - Spirit of Justice (USA).zip;885.15 MiB;zip;archive-3dscia_202310
Photo Dojo (USA) (DSiWare).zip;https://archive.org/download/3dscia_202310/Photo Dojo (USA) (DSiWare).zip;2.47 MiB;zip;archive-3dscia_202310
Pokemon Alpha Sapphire (USA).zip;https://archive.org/download/3dscia_202310/Pokemon Alpha Sapphire (USA).zip;1.77 GiB;zip;archive-3dscia_202310
Pokemon Gaia.zip;https://archive.org/download/3dscia_202310/Pokemon Gaia.zip;32.49 MiB;zip;archive-3dscia_202310
