path;link;size;format;origem
Fire Emblem Musou (Japan).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Fire%20Emblem%20Musou%20%28Japan%29.zip;1.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Fire Emblem Warriors (Europe) (En,Fr,De,Es,It).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Fire%20Emblem%20Warriors%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;1.4 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Fire Emblem Warriors (USA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Fire%20Emblem%20Warriors%20%28USA%29.zip;1.4 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Minecraft - New Nintendo 3DS Edition (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Zh-Hant,Zh-Hans,Ko,Ru).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Minecraft%20-%20New%20Nintendo%203DS%20Edition%20%28USA%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CNl%2CPt%2CZh-Hant%2CZh-Hans%2CKo%2CRu%29.zip;337.0 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Runbow Pocket Deluxe Edition (USA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Runbow%20Pocket%20Deluxe%20Edition%20%28USA%29.zip;135.4 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade (Japan).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20%28Japan%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It) (Rev 1).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20Chronicles%203D%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28Rev%201%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20Chronicles%203D%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade Chronicles 3D (USA) (Beta).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20Chronicles%203D%20%28USA%29%20%28Beta%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade Chronicles 3D (USA) (En,Fr,Es) (Rev 1).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20Chronicles%203D%20%28USA%29%20%28En%2CFr%2CEs%29%20%28Rev%201%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
Xenoblade Chronicles 3D (USA) (En,Fr,Es).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Decrypted)/Xenoblade%20Chronicles%203D%20%28USA%29%20%28En%2CFr%2CEs%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/No-Intro
