path;link;size;format;origem
102 Dalmatians - Puppies to the Rescue (UK).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/102%20Dalmatians%20-%20Puppies%20to%20the%20Rescue%20%28UK%29.zip;532.4M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/18%20Wheeler%20-%20American%20Pro%20Trucker%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29.zip;226.9M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
18 Wheeler - American Pro Trucker (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/18%20Wheeler%20-%20American%20Pro%20Trucker%20%28Japan%29.zip;209.1M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
18 Wheeler - American Pro Trucker (USA).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/18%20Wheeler%20-%20American%20Pro%20Trucker%20%28USA%29.zip;215.3M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
21 - Two One (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/21%20-%20Two%20One%20%28Japan%29.zip;671.9M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
4 Wheel Thunder (Europe) (En,Fr).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/4%20Wheel%20Thunder%20%28Europe%29%20%28En%2CFr%29.zip;908.7M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
4 Wheel Thunder (USA).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/4%20Wheel%20Thunder%20%28USA%29.zip;722.6M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
4x4 Evo (USA).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/4x4%20Evo%20%28USA%29.zip;310.4M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/90%20Minutes%20-%20Sega%20Championship%20Football%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;421.9M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
AM2 of CRI 2001 New Lineup Movie Collection (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/AM2%20of%20CRI%202001%20New%20Lineup%20Movie%20Collection%20%28Japan%29.zip;166.9M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
Action Replay CDX - Demo Version (UK) (Unl).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/Action%20Replay%20CDX%20-%20Demo%20Version%20%28UK%29%20%28Unl%29.zip;1.4M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/Advanced%20Daisenryaku%20-%20Sturm%20ueber%20Europa%20-%20Der%20Deutsche%20Blitzkrieg%20%28Japan%29.zip;816.1M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
Advanced Daisenryaku 2001 (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/Advanced%20Daisenryaku%202001%20%28Japan%29.zip;790.4M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
Aero Dancing - Todoroki Taichou no Himitsu Disc (Japan).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/Aero%20Dancing%20-%20Todoroki%20Taichou%20no%20Himitsu%20Disc%20%28Japan%29.zip;554.4M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
Aero Dancing F (Japan) (Rev A).zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2/Sega%20-%20Dreamcast/Aero%20Dancing%20F%20%28Japan%29%20%28Rev%20A%29.zip;686.9M;zip;https://archive.org/download/alone-in-the-dark-the-new-nightmare-europe-disc-2
