path;link;size;format;origem
007 - Agent Under Fire (v1.00)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/007%20-%20Agent%20Under%20Fire%20%28v1.00%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
007 - Agent Under Fire (v1.01)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/007%20-%20Agent%20Under%20Fire%20%28v1.01%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
007 - Everything or Nothing (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/007%20-%20Everything%20or%20Nothing%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
007 - From Russia with Love (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/007%20-%20From%20Russia%20with%20Love%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
007 - Nightfire (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/007%20-%20Nightfire%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
1080 Avalanche (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/1080%20Avalanche%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
18 Wheeler - American Pro Trucker (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/18%20Wheeler%20-%20American%20Pro%20Trucker%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
2002 FIFA World Cup Korea Japan (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/2002%20FIFA%20World%20Cup%20Korea%20Japan%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
4x4 Evo 2 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/4x4%20Evo%202%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
ATV - Quad Power Racing 2 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/ATV%20-%20Quad%20Power%20Racing%202%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Aggressive Inline (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Aggressive%20Inline%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Alien Hominid (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Alien%20Hominid%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
All-Star Baseball 2002 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/All-Star%20Baseball%202002%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
All-Star Baseball 2003 featuring Derek Jeter (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/All-Star%20Baseball%202003%20featuring%20Derek%20Jeter%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
All-Star Baseball 2004 featuring Derek Jeter (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/All-Star%20Baseball%202004%20featuring%20Derek%20Jeter%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Amazing Island (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Amazing%20Island%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
American Chopper 2 - Full Throttle (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/American%20Chopper%202%20-%20Full%20Throttle%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Animal Crossing (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Animal%20Crossing%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Animaniacs - The Great Edgar Hunt (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Animaniacs%20-%20The%20Great%20Edgar%20Hunt%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Ant Bully, The (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Ant%20Bully%2C%20The%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Aquaman - Battle for Atlantis (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Aquaman%20-%20Battle%20for%20Atlantis%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Army Men - Air Combat - The Elite Missions (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Army%20Men%20-%20Air%20Combat%20-%20The%20Elite%20Missions%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Army Men - RTS (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Army%20Men%20-%20RTS%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Army Men - Sarge's War (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Army%20Men%20-%20Sarge%27s%20War%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Auto Modellista (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Auto%20Modellista%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Avatar - The Last Airbender (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Avatar%20-%20The%20Last%20Airbender%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
BMX XXX (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/BMX%20XXX%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Backyard Baseball (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Backyard%20Baseball%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Backyard Football (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Backyard%20Football%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Backyard Sports - Baseball 2007 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Backyard%20Sports%20-%20Baseball%202007%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bad Boys - Miami Takedown (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bad%20Boys%20-%20Miami%20Takedown%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Baldur's Gate - Dark Alliance (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Baldur%27s%20Gate%20-%20Dark%20Alliance%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Baten Kaitos - Eternal Wings and the Lost Ocean (Disc 1)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Baten%20Kaitos%20-%20Eternal%20Wings%20and%20the%20Lost%20Ocean%20%28Disc%201%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Baten Kaitos - Eternal Wings and the Lost Ocean (Disc 2)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Baten%20Kaitos%20-%20Eternal%20Wings%20and%20the%20Lost%20Ocean%20%28Disc%202%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Baten Kaitos Origins (Disc 1)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Baten%20Kaitos%20Origins%20%28Disc%201%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Baten Kaitos Origins (Disc 2)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Baten%20Kaitos%20Origins%20%28Disc%202%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Batman - Dark Tomorrow (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Batman%20-%20Dark%20Tomorrow%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Batman - Rise of Sin Tzu (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Batman%20-%20Rise%20of%20Sin%20Tzu%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Batman - Vengeance (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Batman%20-%20Vengeance%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Batman Begins (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Batman%20Begins%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Battalion Wars (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Battalion%20Wars%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Beach Spikers - Virtua Beach Volleyball (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Beach%20Spikers%20-%20Virtua%20Beach%20Volleyball%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Beyblade VForce - Super Tournament Battle (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Beyblade%20VForce%20-%20Super%20Tournament%20Battle%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Beyond Good & Evil (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Beyond%20Good%20%26%20Evil%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Big Air Freestyle (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Big%20Air%20Freestyle%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Big Mutha Truckers (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Big%20Mutha%20Truckers%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Billy Hatcher and the Giant Egg (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Billy%20Hatcher%20and%20the%20Giant%20Egg%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bionicle (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bionicle%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bionicle Heroes (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bionicle%20Heroes%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Black & Bruised (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Black%20%26%20Bruised%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Blood Omen 2 - The Legacy of Kain Series (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Blood%20Omen%202%20-%20The%20Legacy%20of%20Kain%20Series%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
BloodRayne (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/BloodRayne%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bloody Roar - Primal Fury (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bloody%20Roar%20-%20Primal%20Fury%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Blowout (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Blowout%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bomberman Generation (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bomberman%20Generation%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bomberman Jetters (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bomberman%20Jetters%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bratz - Forever Diamondz (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bratz%20-%20Forever%20Diamondz%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bratz - Rock Angelz (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bratz%20-%20Rock%20Angelz%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Buffy the Vampire Slayer - Chaos Bleeds (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Buffy%20the%20Vampire%20Slayer%20-%20Chaos%20Bleeds%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Burnout (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Burnout%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Burnout 2 - Point of Impact (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Burnout%202%20-%20Point%20of%20Impact%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bust-A-Move 3000 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bust-A-Move%203000%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cabela's Big Game Hunter 2005 Adventures (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cabela%27s%20Big%20Game%20Hunter%202005%20Adventures%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cabela's Dangerous Hunts 2 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cabela%27s%20Dangerous%20Hunts%202%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
