NAME;link1;link2;link3;link4;link5;link6;link7;link8;link9;link10;link11;link12;link13;link14;link15;link16
#BLUD;https://www.mediafire.com/file/w4unc6jkj7sln5r/NSP+-+Blud+[010060201E0A4000][v0][US][switchroms.io].zip/file;https://buzzheavier.com/f/GTi-qEwpAAA;https://megaup.net/f000d14c0f939a2a427fcf22b049b9dc/NSP_-_Blud_[010060201E0A4000][v0][US][switchroms.io].zip;https://1fichier.com/?kkyg01xwp8hsq455z1ue;https://www.filefactory.com/file/4glfkufu913s/NSP-Blud010060201E0A4000v0USswitchroms.io.zip;https://send.cm/jltajamp74n9;;;;;;;;;;
A Painter's Tale: Curon, 1950;https://www.mediafire.com/file/zdcyp20qodv7dli/NSP+-+A+Painter's+Tale+Curon,+1950+[0100F2001860C000][v0][US][switchroms.io].zip/file;https://1fichier.com/?8nsvl694kmvth12ypyl7;https://send.cm/d/1AnLD;https://megaup.net/74e1f10df9cc4a06cd1d19db804862ec/NSP_-_A_Painter_s_Tale_Curon,_1950_[0100F2001860C000][v0][US][switchroms.io].zip;https://terabox.com/s/1GROS3mOC-7tUmpl4lb8HUA;https://www.up-4ever.net/dsb3manwrws8;https://buzzheavier.com/f/GR3D7u7TwAA;;;;;;;;;
A Tiny Sticker Tale;https://www.mediafire.com/file/7k646o6hafv1wjm/A+Tiny+Sticker+Tale+[0100F6001B738000][v0][US][switchroms.io].zip/file;https://terabox.com/s/1BFvZFF1ccXqCsO8YLJRZ1w;https://drive.google.com/file/d/1XoV1VaTPWIVsJUorqhMR80nimfNYOpmA/view?usp=sharing;https://send.cm/d/17pJn;https://megaup.net/5897127c17c5ae2bedd921b7573efd05/A_Tiny_Sticker_Tale_[0100F6001B738000][v0][US][switchroms.io].zip;;;;;;;;;;;
AKAIITO HD REMASTER;http://www.filefactory.com/file/4nyeh00qgjnq/NSP-AKAIITOHDREMASTER0100F6501A5DE000v0USswitchroms.io.zip;https://1fichier.com/?zojvtvs57s7jka48omn3;https://megaup.net/8fee679a7cf4c76c9584a4c924330bab/NSP_-_AKAIITO_HD_REMASTER_[0100F6501A5DE000][v0][US][switchroms.io].zip;https://www.up-4ever.net/9tlnt5khwu68;https://send.cm/d/1ARTt;https://www.mediafire.com/file/l50jbuzi4ujocgn/NSP+-+AKAIITO+HD+REMASTER+[0100F6501A5DE000][v0][US][switchroms.io].zip/file;https://buzzheavier.com/f/GRgCyODTwAA;;;;;;;;;
ARK: Ultimate Survivor Edition;https://buzzheavier.com/f/GVJPUZqpAAA;https://1fichier.com/?2z6i2cznpfm2451qfjv0;https://qiwi.gg/file/7MpM0065-NSP-ARKSurvivalEvolved0100D4A00B284000v0switchrom;;;;;;;;;;;;;
ARMS;https://www.mediafire.com/file/jp79g3o4ngyb85k/NSP+-+ARMS+[01009b500007c000][v0][switchroms.io].zip/file;https://frdl.to/aclpdovdh9re/NSP_-_ARMS_[01009b500007c000][v0][switchroms.io].zip.html;https://qiwi.gg/file/mQc31647-NSP-ARMS01009b500007c000v0switchrom;https://buzzheavier.com/f/GYibwjupAAA;https://send.cm/spt1cft1jo51;https://1fichier.com/?32vovsabcpfjzibz7qw1;;;;;;;;;;
Across the Obelisk;https://www.mediafire.com/file/xbflxyk8fasiojd/NSP+-+Across+the+Obelisk+[01004FA01D2C6000][v0][US][switchroms.io].zip/file;https://buzzheavier.com/f/GTkMC2hpAAA;https://www.up-4ever.net/fwog48gdbvlz;https://megaup.net/d9588bd16bb27d05654c8199330500a6/NSP_-_Across_the_Obelisk_[01004FA01D2C6000][v0][US][switchroms.io].zip;https://1fichier.com/?q86vat3dhqedlswna3b4;https://www.filefactory.com/file/u0g5w2qd4zy/NSP-AcrosstheObelisk01004FA01D2C6000v0USswitchroms.io.zip;https://send.cm/oxpkqhntfp1i;;;;;;;;;
Adore;https://www.mediafire.com/file/crft0h598m68jb4/NSP+-+ADORE+[010096901B706000][v0][US][switchroms.io].zip/file;https://terabox.com/s/1fK47ExfbxTLn0n5zrdGFGA;https://drive.google.com/file/d/1FjTM8-FVMN6_IxUpoLK1pqtOqL-ZNoF5/view?usp=sharing;https://www.up-4ever.net/ktjk4sda28pd;;;;;;;;;;;;
Agatha Christie - Murder on the Orient Express;https://www.mediafire.com/file/5o27sxvaovteuop/NSP+-+Agatha+Christie+-+Murder+on+the+Orient+Express+[0100218017CD8000][v0][switchroms.io].zip/file;https://1fichier.com/?mr9abb6d3wukrvh4fsmq;https://megaup.net/339ed5ec0e6ab0d731971a804ebb9d21/NSP_-_Agatha_Christie_-_Murder_on_the_Orient_Express_[0100218017CD8000][v0][switchroms.io].zip;https://send.cm/d/1AK5B;https://www.up-4ever.net/jd2s0ep9yltw;https://buzzheavier.com/f/GRYYBQ3TwAA;;;;;;;;;;
Aikagi After Days;https://1fichier.com/?7syl5hfpwvp7i4dw8cdo&af=327151;https://megaup.net/2DAqu/Aikagi_After_Days_(NSP)(Converted).rar;;;;;;;;;;;;;;
