path;link;size;format;origem
0 Story (Japan) (Disc 1).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/0%20Story%20%28Japan%29%20%28Disc%201%29.zip;3.7 GiB;ZIP;https://myrient.erista.me/files/Redump
0 Story (Japan) (Disc 2).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/0%20Story%20%28Japan%29%20%28Disc%202%29.zip;3.7 GiB;ZIP;https://myrient.erista.me/files/Redump
0 Story (Japan) (Taikenban).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/0%20Story%20%28Japan%29%20%28Taikenban%29.zip;514.1 MiB;ZIP;https://myrient.erista.me/files/Redump
007 - Agent Under Fire (Europe) (En,Fr,De,Es,Nl,Sv).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Agent%20Under%20Fire%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CNl%2CSv%29.zip;3.1 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Agent Under Fire (Korea).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Agent%20Under%20Fire%20%28Korea%29.zip;1.3 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Agent Under Fire (USA).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Agent%20Under%20Fire%20%28USA%29.zip;1.3 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Everything or Nothing (Europe) (Demo).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Everything%20or%20Nothing%20%28Europe%29%20%28Demo%29.zip;866.2 MiB;ZIP;https://myrient.erista.me/files/Redump
007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Everything%20or%20Nothing%20%28Europe%29%20%28En%2CEs%2CIt%2CNl%2CSv%29.zip;2.6 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Everything or Nothing (Europe) (Fr,De).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Everything%20or%20Nothing%20%28Europe%29%20%28Fr%2CDe%29.zip;2.6 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Everything or Nothing (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/007%20-%20Everything%20or%20Nothing%20%28Japan%29.zip;3.2 GiB;ZIP;https://myrient.erista.me/files/Redump
