path;link;size;format;origem
'&' - Sora no Mukou de Sakimasu You ni (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/%27%26%27%20-%20Sora%20no%20Mukou%20de%20Sakimasu%20You%20ni%20%28Japan%29.zip;4.2 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Blood Stone (Europe) (En,Fr,De).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Blood%20Stone%20%28Europe%29%20%28En%2CFr%2CDe%29.zip;6.4 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Blood Stone (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Blood%20Stone%20%28Japan%29.zip;6.3 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Blood Stone (USA) (En,Fr).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Blood%20Stone%20%28USA%29%20%28En%2CFr%29.zip;6.2 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Kvant Miloserdiya (Russia).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Kvant%20Miloserdiya%20%28Russia%29.zip;9.1 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Nagusame no Houshuu (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Nagusame%20no%20Houshuu%20%28Japan%29.zip;9.0 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (Europe) (En,Fr,De,Es,It) (Collector's Edition).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Quantum%20of%20Solace%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28Collector%27s%20Edition%29.zip;16.6 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (Europe) (En,Fr,De,Es,It).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Quantum%20of%20Solace%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;16.0 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (Korea).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Quantum%20of%20Solace%20%28Korea%29.zip;9.1 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (USA) (En,Fr) (Collector's Edition).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Quantum%20of%20Solace%20%28USA%29%20%28En%2CFr%29%20%28Collector%27s%20Edition%29.zip;11.4 GiB;ISO;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (USA) (En,Fr).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20-%20Quantum%20of%20Solace%20%28USA%29%20%28En%2CFr%29.zip;10.8 GiB;ISO;https://myrient.erista.me/files/Redump
007 Legends (Europe) (En,Fr,De).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20Legends%20%28Europe%29%20%28En%2CFr%2CDe%29.zip;8.4 GiB;ISO;https://myrient.erista.me/files/Redump
007 Legends (Russia).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20Legends%20%28Russia%29.zip;7.7 GiB;ISO;https://myrient.erista.me/files/Redump
007 Legends (USA) (En,Fr).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/007%20Legends%20%28USA%29%20%28En%2CFr%29.zip;8.0 GiB;ISO;https://myrient.erista.me/files/Redump
2010 FIFA World Cup - Minami Africa Taikai (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2010%20FIFA%20World%20Cup%20-%20Minami%20Africa%20Taikai%20%28Japan%29.zip;5.9 GiB;ISO;https://myrient.erista.me/files/Redump
2010 FIFA World Cup South Africa (Europe) (En,Fr,De,Es,It,Nl).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip;7.3 GiB;ISO;https://myrient.erista.me/files/Redump
2010 FIFA World Cup South Africa (USA, Asia) (En,Fr,Es).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2010%20FIFA%20World%20Cup%20South%20Africa%20%28USA%2C%20Asia%29%20%28En%2CFr%2CEs%29.zip;6.6 GiB;ISO;https://myrient.erista.me/files/Redump
2014 FIFA World Cup Brazil (Europe) (En,Fr,De,Es,It,Nl).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2014%20FIFA%20World%20Cup%20Brazil%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip;6.8 GiB;ISO;https://myrient.erista.me/files/Redump
2014 FIFA World Cup Brazil (Japan).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2014%20FIFA%20World%20Cup%20Brazil%20%28Japan%29.zip;5.8 GiB;ISO;https://myrient.erista.me/files/Redump
2014 FIFA World Cup Brazil (USA) (En,Fr,Es).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/2014%20FIFA%20World%20Cup%20Brazil%20%28USA%29%20%28En%2CFr%2CEs%29.zip;6.2 GiB;ISO;https://myrient.erista.me/files/Redump
3.15 IDU Firmware Update (USA).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/3.15%20IDU%20Firmware%20Update%20%28USA%29.zip;163.3 MiB;ISO;https://myrient.erista.me/files/Redump
3.40 IDU-IDU FW Update (USA).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/3.40%20IDU-IDU%20FW%20Update%20%28USA%29.zip;190.3 MiB;ISO;https://myrient.erista.me/files/Redump
3.66 IDU FW (USA).zip;https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%203/3.66%20IDU%20FW%20%28USA%29.zip;203.1 MiB;ISO;https://myrient.erista.me/files/Redump
