nome;preco;url;vendidos;estrelas;qtd-perguntas;data-ultima-pergunta;freteGratis;condicao
Relógio Gemius Army Original Pulseira Verde Fundo Verde;79.8;https://produto.mercadolivre.com.br/MLB-1173785349-relogio-gemius-army-original-pulseira-verde-fundo-verde-_JM#position=1&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;23;5.0;27;06/1/2020 16:56;True;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury;49.0;https://produto.mercadolivre.com.br/MLB-1102273236-relogio-masculino-gemius-army-filme-brad-pitt-fury-_JM#position=2&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;3;;0;;True;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury + Caixa;49.0;https://produto.mercadolivre.com.br/MLB-1407565411-relogio-masculino-gemius-army-filme-brad-pitt-fury-caixa-_JM#position=3&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;0;;False;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury + Estojo;49.0;https://produto.mercadolivre.com.br/MLB-1407611923-relogio-masculino-gemius-army-filme-brad-pitt-fury-estojo-_JM#position=4&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Feminino Masculino Aço Inoxidável Pulseira De Couro;62.0;https://produto.mercadolivre.com.br/MLB-873780123-relogio-feminino-masculino-aco-inoxidavel-pulseira-de-couro-_JM#position=5&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;2;26/4/2018 13:04;False;Novo
Relógio Masculino, Gemius Army. Linha Brad Pitt Fury;59.9;https://produto.mercadolivre.com.br/MLB-1272559342-relogio-masculino-gemius-army-linha-brad-pitt-fury-_JM#position=6&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;13;;8;;False;Novo
Relógio Esportivo Militar Super Promoção!!!;24.99;https://produto.mercadolivre.com.br/MLB-887259967-relogio-esportivo-militar-super-promoco-_JM#position=7&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;7;;8;17/2/2020 17:06;False;Novo
Relógio Gemius Army Original Pulseira Azul Fundo Azul;79.8;https://produto.mercadolivre.com.br/MLB-1173790997-relogio-gemius-army-original-pulseira-azul-fundo-azul-_JM#position=9&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;True;Novo
2 Relógios Gemius Army Original Pulseira Verde Fundo Verde;120.9;https://produto.mercadolivre.com.br/MLB-1224206069-2-relogios-gemius-army-original-pulseira-verde-fundo-verde-_JM#position=10&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;11;21/1/2020 23:25;True;Novo
Relógio Bonito E Barato Gemius Army Original 2 Relógios;75.0;https://produto.mercadolivre.com.br/MLB-1179350359-relogio-bonito-e-barato-gemius-army-original-2-relogios-_JM#position=11&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio Gemius Army Original Pulseira Preta Fundo;75.9;https://produto.mercadolivre.com.br/MLB-1224198262-relogio-gemius-army-original-pulseira-preta-fundo-_JM#position=12&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;2;09/1/2020 16:55;False;Novo
Relógio Militar Gemius Army Sport Exército Preto Ou Verde;21.83;https://produto.mercadolivre.com.br/MLB-993233525-relogio-militar-gemius-army-sport-exercito-preto-ou-verde-_JM#position=13&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;43;;41;13/2/2020 13:21;False;Novo
Relógio Brad Pitt Fury;39.0;https://produto.mercadolivre.com.br/MLB-1434351732-relogio-brad-pitt-fury-_JM#position=15&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio Militar Army Exercito Verde;29.99;https://produto.mercadolivre.com.br/MLB-1415556408-relogio-militar-army-exercito-verde-_JM#position=16&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;4;19/2/2020 15:29;False;Novo
Relógio Brad Pitt Fury Filme Coração De Ferro;37.0;https://produto.mercadolivre.com.br/MLB-1434419600-relogio-brad-pitt-fury-filme-coraco-de-ferro-_JM#position=17&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio De Pulso Militar Genius Army;49.9;https://produto.mercadolivre.com.br/MLB-1259180784-relogio-de-pulso-militar-genius-army-_JM#position=18&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relogio Masculino Militar Gemius Army Exercito;89.9;https://produto.mercadolivre.com.br/MLB-877407878-relogio-masculino-militar-gemius-army-exercito-_JM#position=19&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;0;;True;Novo
Relógio Analógico Azul Gemius Army;140.44;https://produto.mercadolivre.com.br/MLB-1150018493-relogio-analogico-azul-gemius-army-_JM#position=20&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relogio Masculino Militar Gemius Army Exercito;19.9;https://produto.mercadolivre.com.br/MLB-877410816-relogio-masculino-militar-gemius-army-exercito-_JM#position=21&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;4;29/1/2020 23:32;False;Novo
2 Relógios Gemius Army Original Pulseira Preta Fundo Preto;120.5;https://produto.mercadolivre.com.br/MLB-1224220094-2-relogios-gemius-army-original-pulseira-preta-fundo-preto-_JM#position=22&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;1;08/1/2020 16:18;True;Novo
Relógio Estilo Militar Suisso Gemius Army Modelo M 500;123.0;https://produto.mercadolivre.com.br/MLB-1445780383-relogio-estilo-militar-suisso-gemius-army-modelo-m-500-_JM#position=23&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relógio Pulso Kit Brad Pitt Filme Coração De Ferro + Brinde;120.0;https://produto.mercadolivre.com.br/MLB-1444083532-relogio-pulso-kit-brad-pitt-filme-coraco-de-ferro-brinde-_JM#position=24&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relogio Masculino Militar Gemius Army Exercito;29.9;https://produto.mercadolivre.com.br/MLB-884831869-relogio-masculino-militar-gemius-army-exercito-_JM#position=25&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
