NAME;LINK
Pixel Game Maker Series - BURAIGUN GALAXY STORM;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Pixel%20Game%20Maker%20Series%20-%20BURAIGUN%20GALAXY%20STORM%20%5B0100F9101573E000%5D%5Bv0%5D.nsp.rar
Aeterna Noctis ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Aeterna%20Noctis%20%5B0100EB60159E4000%5D%5Bv65536%5D%5BUS%5DBase.nsp.rar
Guns of Fury ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Guns%20of%20Fury%20%5B0100C51021970000%5D%5Bv0%5D%5BUS%5D.nsp.rar
LOOP8 Descending God;https://huggingface.co/datasets/luistiagos/switch/resolve/main/LOOP8%20Descending%20God%20%5B0100F04019298000%5D%5Bv0%5D%5BAS%5D.nsp.rar
The Phantom;https://huggingface.co/datasets/luistiagos/switch/resolve/main/The%20Phantom%20%5B010013A01CE90000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Andro Dunos 2;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Andro%20Dunos%202%20%5B010027A017744000%5D%5Bv0%5D.nsp.rar
Suikoden I and II HD Remaster Gate Rune and Dunan Unification Wars;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Suikoden%20I%20and%20II%20HD%20Remaster%20Gate%20Rune%20and%20Dunan%20Unification%20Wars%20%5B01004BD017080000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Contra Operation Galuga;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Contra%20Operation%20Galuga.nsp.rar
BRAVELY DEFAULT II;https://huggingface.co/datasets/luistiagos/switch/resolve/main/BRAVELY%20DEFAULT%20II%20%5B01006DC010326000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Hyrule Warriors Definitive Edition;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Hyrule%20Warriors%20Definitive%20Edition%20%5B0100AE00096EA800%5D%5Bv65536%5D%5BUS%5D.nsp.rar
Guilty Gear Strive;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Guilty%20Gear%20Strive%20-%20Nintendo%20Switch%20Edition%20%5BNSP%5D.rar
ARMS ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/ARMS%20%5B01009B500007C000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Bayonetta Origins Cereza and the Lost Demon;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Bayonetta%20Origins%20Cereza%20and%20the%20Lost%20Demon%20%5B0100CF5010FEC000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Bayonetta 3;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Bayonetta%203%20%5B01004A4010FEA000%5D%5Bv65536%5D%5BUS%5D.nsp.rar
Monster Hunter Stories 2 Wings of Ruin;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Monster%20Hunter%20Stories%202%20Wings%20of%20Ruin%20%5B0100E21011446000%5D%5Bv0%5D%5BUS%5D.nsp.rar
1-2-Switch;https://cold4.gofile.io/download/direct/902a6493-9ba3-4a7d-9d0b-7cfc453f712b/1-2-Switch%20%5B01000320000CC000%5D%5Bv0%5D%5BUS%5D.nsp.rar
GI Joe Wrath of Cobra;https://huggingface.co/datasets/luistiagos/switch/resolve/main/GI%20Joe%20Wrath%20of%20Cobra%20%5BNSP%5D.rar
Fairy Tail 2 (JAP+ENG Mod);https://huggingface.co/datasets/luistiagos/switch/resolve/main/Fairy%20Tail%202%20(JAP%2BENG%20Mod)%20%5BNSZ%5D.rar
Fire Emblem Three Houses [6DLC];https://huggingface.co/datasets/luistiagos/switch/resolve/main/Fire%20Emblem%20Three%20Houses%20%5B6DLC%5D%5B010055D009F78XXX%5D%5BUS%5D%20NSP.rar
Fire Emblem Engage;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Fire%20Emblem%20Engage%20%5B0100A6301214E800%5D%5Bv327680%5D%5BUS%5D.nsp.rar
Fire Emblem Warriors;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Fire%20Emblem%20Warriors%20%5B0100F15003E64000%5D%5BUS%5D%5Bv0%5D.nsp.rar
Donkey Kong Country Returns HD;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Donkey%20Kong%20Country%20Returns%20HD%20%5BNSP%5D.rar
IREM COLLECTION VOL.2;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Moved%20Now.xci.rar
Turbo Overkill ;https://huggingface.co/datasets/luistiagos/switch/resolve/ed9230fe7b8988dbae920d809f5509e82124f1a8/Star%20Wars%20Episode%20I%20Jedi%20Power%20Battles%20%5B010065201B916000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Breakneck City ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Breakneck%20City%20%5B0100C5F016414000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Phantom Kingdom;https://huggingface.co/datasets/luistiagos/switch/resolve/main/PhantomKingdom.rar
Strania -The Stella Machina- EX ;https://huggingface.co/datasets/luistiagos/switch/resolve/ed9230fe7b8988dbae920d809f5509e82124f1a8/Strania%20-The%20Stella%20Machina-%20EX%20%5B010080F012516000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Rayman Legends Def. Edition ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Rayman%20Legends%20Def.%20Edition%20%5BNSP%5D.rar
STAR OCEAN THE SECOND STORY R;https://huggingface.co/datasets/luistiagos/switch/resolve/main/STAR%20OCEAN%20THE%20SECOND%20STORY%20R%20%5B010065301A2E0000%5D%5Bv0%5D%5BUS%5D(Dumped).xci.rar
Live A Live ;https://huggingface.co/datasets/luistiagos/switch/blob/main/Live%20A%20Live%20%5BNSP%5D.rar
Transformers Earthspark Expedition;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Transformers%20Earthspark%20Expedition%20%5BNSP%5D.rar
Divine Dynamo Flamefrit;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Divine%20Dynamo%20Flamefrit%20%5BNSP%5D.rar
Bleach Brave Souls;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Bleach%20Brave%20Souls%20%5B010024C01C730000%5D%5Bv65536%5D%5BUS%5D.nsp.rar
BEYBLADE X XONE;https://huggingface.co/datasets/luistiagos/switch/resolve/main/BEYBLADE%20X%20XONE%20%5B0100E2301FB1E000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Monkey Ball Banana Rumble ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/monkeyball.rar
WolfFang SkullFang;https://huggingface.co/datasets/luistiagos/switch/resolve/main/WolfFang%20SkullFang%20Saturn%20Tribute%20Boosted%20%5B01009C901B882000%5D%5Bv0%5D%5BUS%5D(Dumped).xci.rar
Racing Champions;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Racing%20Champions%20%5B010054A0210BC000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Marvel Vs Capcom Fighting Collection Arcade Classics;https://archive.org/download/marvel-vs-capcom-fighting-collection-arcade-classics-nsp/Marvel%20vs%20Capcom%20Fighting%20Collection%20Arcade%20Classics%20%5BNSP%5D.rar
Horizon Chase 2;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Horizon%20Chase%202.rar
Ace Attorney Investigations Collection;https://archive.org/download/ace-attorney-investigations-collection-010005501-e-68-c-000v-0-us-dumped.xci/Ace%20Attorney%20Investigations%20Collection%20%5B010005501E68C000%5D%5Bv0%5D%5BUS%5D%28Dumped%29.xci.rar
Animal Crossing New Horizons;https://store9.gofile.io/download/direct/4ce7f6bf-31ab-4032-b7a9-ae4e042233c8/Animal%20Crossing%20New%20Horizons%20%5B01006F8002326000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Splatoon 2;https://store9.gofile.io/download/direct/1eb37b96-5ed6-4b9a-a19c-e23a52a8ac1f/Splatoon%202%20%5B01003BC0000A0000%5D%20%5Bv3276800%5D%5Bv5.5.1%2B5DLC%5D%5BUS%5D(SuperXCI).xci.rar
Splatoon 3;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Splatoon%203%20%5BNSP%5D.rar
TRIANGLE STRATEGY;https://store9.gofile.io/download/direct/f0c7b83e-d90a-4f6e-86ce-9319f9e09315/TRIANGLE%20STRATEGY%20%5B0100CC80140F8000%5D%2B%5Bv1.1.0%5D%5BUS%5D(SuperXCI).xci.rar
Pikmin 4;https://store7.gofile.io/download/direct/8039e3ec-606f-4bfd-a4ac-76d6020ffffd/Pikmin%204%20%5B0100B7C00933A000%5D%2B%5Bv1.0.2%5D%5BUS%5D(SuperXCI).xci.rar?inline=true
Super Smash Bros. Ultimate;https://store8.gofile.io/download/direct/7422d159-d02f-4e56-855e-03080839190e/Super%20Smash%20Bros.%20Ultimate%20%5Bv13.0.3%2B%209DLC%5D%5BUS%5D(SuperXCI)Super%20Smash%20Bros.%20Ultimate%20%5B01006A800016E000%5D%2B%5Bv13.0.3%2B%209DLC%5D%5BUS%5D(nsw2u.com).xci
The Legend of Zelda Breath of the Wild;https://cold4.gofile.io/download/direct/d5129a92-6d4d-4494-8922-275481f25799/The%20Legend%20of%20Zelda%20Breath%20of%20the%20Wild%20%5BNSP%5D.rar?inline=true
The Legend of Zelda: Tears of the Kingdom;https://cold7.gofile.io/download/direct/8a650b4f-76bc-449c-a5a1-772bf03d2326/TOTK%20%5B0100F2C0115B6000%5D%5Bv0%5D.rar
The Legend of Zelda Echoes of Wisdom;https://archive.org/download/the-legend-of-zelda-echoes-of-wisdom-01008-cf-01-baac-800v-65536-jp.nsp/The%20Legend%20of%20Zelda%20Echoes%20of%20Wisdom%20%5B01008CF01BAAC800%5D%5Bv65536%5D%5BJP%5D.nsp.rar
The Legend of Zelda Link’s Awakening;https://store9.gofile.io/download/direct/0314241f-af2c-4dac-8a5f-f168f4410c12/The%20Legend%20of%20Zelda%20Link%E2%80%99s%20Awakening%20%5B01006BB00C6F0000%5D%2B%5Bv1.0.1%5D%5BUS%5D(SuperXCI)).xci.rar
Night Slashers Remake;https://archive.org/download/night-slashers-remake-010093801-fece-000v-0-us.nsp/Night%20Slashers%20Remake%20%5B010093801FECE000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Slave Zero X;https://store8.gofile.io/download/direct/567b73b4-5629-401e-bf59-e462a48db680/Slave%20Zero%20X%20%5BNSZ%5DSlave%20Zero%20X%20%5B0100EE101AD66000%5D%5Bv0%5D%20(3.30%20GB).nsz
Donkey Kong Country Tropical Freeze;https://huggingface.co/datasets/luistiagos/switch/blob/main/Donkey%20Kong%20Country%20Tropical%20Freeze%20%5BNSP%5D.rar
ZombFarm;https://store8.gofile.io/download/direct/ade6c2dd-3ba3-44ab-8e6a-052e3ec8cbb5/ZombFarm%20v1.0.0.nsp
Teenage Mutant Ninja Turtles Shredder's Revenge;https://store8.gofile.io/download/direct/9616f466-7e36-470a-b8e4-b7c6861fb4c7/Teenage%20Mutant%20Ninja%20Turtles%20Shredder's%20Revenge%20%5BNSZ%5D.rar
Super Mario 3D World + Bowser’s Fury;https://cold8.gofile.io/download/direct/6684e10c-ecea-43cd-a72e-338c309c786b/Super%20Mario%203D%20World%20%2B%20Bowser%E2%80%99s%20Fury%20%5B010028600EBDA000%5D%5Bv0%5D%5BUS%5D.nsp.rar
New Super Mario Bros. U Deluxe;https://cold7.gofile.io/download/direct/ac9b912a-b03c-4faa-b5dc-47392c032e15/New%20Super%20Mario%20Bros.%20U%20Deluxe%20%5Bv0%5D%5B0100EA80032EA000%5D.rar
Mario + Rabbids Sparks of Hope [7DLC];https://store8.gofile.io/download/direct/50128d29-f43f-418d-aa99-0c3045d7a034/Mario%20%2B%20Rabbids%20Sparks%20of%20Hope%20%5B7DLC%5D%5BUS%5D%20NSP.rar
Mario + Rabbids Sparks of Hope [60 FPS MOD];https://cold4.gofile.io/download/direct/d8755631-ca82-4789-8cf5-382cabf098ff/Mario%20%2B%20Rabbids%20Sparks%20of%20Hope%20%5B60%20FPS%20MOD%5D.rar
Mario Golf Super Rush;https://cold8.gofile.io/download/direct/f9983e86-536c-4e3b-aefb-80d44cf46764/Mario%20Golf%20Super%20Rush%20%5B0100C9C00E25C800%5D%5Bv262144%5D%5BUS%5D.nsp.rar
New Super Mario Bros. U Deluxe;https://cold7.gofile.io/download/direct/ac9b912a-b03c-4faa-b5dc-47392c032e15/New%20Super%20Mario%20Bros.%20U%20Deluxe%20%5Bv0%5D%5B0100EA80032EA000%5D.rar
Mario Kart 8 Deluxe;https://cold7.gofile.io/download/direct/70dc8769-0983-4450-8464-730e728e8249/Mario%20Kart%208%20Deluxe%20%5B0100152000022000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Mario Kart Live Home Circuit;https://huggingface.co/datasets/luistiagos/switch/blob/main/Mario%20Kart%20Live%20Home%20Circuit%20%5B0100ED100BA3A800%5D%5Bv196608%5D%5BUS%5D.nsp.rar
Mario Tennis Aces;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Mario%20Tennis%20Aces%20%5B0100BDE00862A000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Mario vs. Donkey Kong;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Mario%20vs.%20Donkey%20Kong%20%5B0100B99019412000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Mario Bros. Wonder;https://cold8.gofile.io/download/direct/dada5661-512a-4b0b-8e93-5f051c23e010/Super%20Mario%20Bros.%20Wonder%20%5B010015100B514000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Mario Odyssey;https://cold8.gofile.io/download/direct/65c0466c-87ce-4765-a455-8a22fdf5aa8e/Super%20Mario%20Odyssey%20%5B0100000000010000%5D%2B%5Bv1.3.0%5D%5BUS%5D(SuperXCI).xci.rar
Super Mario Party;https://cold4.gofile.io/download/direct/e526fd10-d39d-419c-9eb4-339656974405/Super%20Mario%20Party%20%5B010036B0034E4000%5D%2B%5Bv1.1.0%5D%5BUS%5D(SuperXCI).xci.rar
Super Mario Party Jamboree;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Super%20Mario%20Party%20Jamboree%20%5BNSP%5D.rar
Super Mario Maker 2;https://cold7.gofile.io/download/direct/ef546f3c-d8eb-48f7-bf59-823e0d7a0df0/Super%20Mario%20Maker%202%20%5B01009B90006DC000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Mario RPG;https://cold8.gofile.io/download/direct/281e8190-b43b-4bd1-b1b1-1a1e93ad6307/Super%20Mario%20RPG%20%5B0100BC0018138000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Smash Bros. Ultimate [v13.0.3+ 9DLC];https://cold7.gofile.io/download/direct/7422d159-d02f-4e56-855e-03080839190e/Super%20Smash%20Bros.%20Ultimate%20%5Bv13.0.3%2B%209DLC%5D%5BUS%5D(SuperXCI)Super%20Smash%20Bros.%20Ultimate%20%5B01006A800016E000%5D%2B%5Bv13.0.3%2B%209DLC%5D%5BUS%5D(nsw2u.com).xci
Mario Strikers Battle League;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Mario%20Strikers%20Battle%20League%20%5B010019401051C000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Luigi's Mansion 2 HD;https://cold2.gofile.io/download/direct/62d89dba-645d-417e-91ab-414bcace6d1f/Luigi's%20Mansion%202%20HD%20%5B010048701995E000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Luigi’s Mansion 3 ;https://cold4.gofile.io/download/direct/9b424dfe-cc4d-44f1-8d1b-6f578676027c/Luigi%E2%80%99s%20Mansion%203%20%5B2DLC%5D%5BUS%5D%20NSP.rar
Super Mario 64 NX, Unofficial Native Homebrew Port For Nintendo Switch;https://archive.org/download/super-mario-64-nx-unofficial-native-homebrew-port-for-nintendo-switch-nsp/Super%20Mario%2064%20NX%2C%20Unofficial%20Native%20Homebrew%20Port%20for%20Nintendo%20Switch%20%5BNSP%5D.rar
Super Mario Bros. 35;https://cold7.gofile.io/download/direct/ec024122-ef80-4d62-9299-2411b37a8cda/Super%20Mario%20Bros.%2035%20%5B0100277011F1A000%5D%5Bv0%5D%5BUS%5D.nsp%20(1).rar
Super Mario 3D All-Stars;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Super%20Mario%203D%20All-Stars%20%5B010049900F546000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Yoshi’s Crafted World;https://cold8.gofile.io/download/direct/ad949112-efca-48ba-9c3f-2fb147e6b8ef/Yoshi%E2%80%99s%20Crafted%20World%20%5B01006000040C2000%5D%2B%5Bv1.0.1%5D(SuperXCI).xci.rar
Captain Toad Treasure Tracker;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Captain%20Toad%20Treasure%20Tracker%20%5B01009BF0072D4000%5D%5Bv0%5D%5BUS%5D.nsp.rar
WarioWare Get It Together;https://cold2.gofile.io/download/direct/c523e018-5a77-4d92-a3b0-048ea498c84b/WarioWare%20Get%20It%20Together%20%5B0100563010E0C000%5D%5Bv0%5D(Dumped).xci.rar
WarioWare Move It!;https://cold4.gofile.io/download/direct/d5129a92-6d4d-4494-8922-275481f25799/The%20Legend%20of%20Zelda%20Breath%20of%20the%20Wild%20%5BNSP%5D.rar
Paper Mario The Thousand-Year Door;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Paper%20Mario%20The%20Thousand-Year%20Door%20%5B0100ECD018EBE000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Mario vs. Donkey Kong;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Mario%20vs.%20Donkey%20Kong%20%5B0100B99019412000%5D%5Bv0%5D%5BUS%5D.nsp.rar
