path;link;size;format;origem
Animal Crossing - City Folk (USA, Asia) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Animal Crossing - City Folk (USA, Asia) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Castlevania Judgment (USA).iso;https://archive.org/download/Wii_ISO/Castlevania Judgment (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Cursed Mountain (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Cursed Mountain (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Disney Epic Mickey (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Disney Epic Mickey (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Disney Epic Mickey 2 - The Power of Two (USA) (En,Fr,Es,Pt).iso;https://archive.org/download/Wii_ISO/Disney Epic Mickey 2 - The Power of Two (USA) (En,Fr,Es,Pt).iso;4.38 GiB;iso;archive-Wii_ISO
Donkey Kong - Barrel Blast (USA).iso;https://archive.org/download/Wii_ISO/Donkey Kong - Barrel Blast (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Donkey Kong Country Returns (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Donkey Kong Country Returns (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Dragon Ball Z - Budokai Tenkaichi 3 (USA) (Rev 1).iso;https://archive.org/download/Wii_ISO/Dragon Ball Z - Budokai Tenkaichi 3 (USA) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Endless Ocean (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Endless Ocean (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Endless Ocean - Blue World (USA).iso;https://archive.org/download/Wii_ISO/Endless Ocean - Blue World (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Excite Truck (USA).iso;https://archive.org/download/Wii_ISO/Excite Truck (USA).iso;4.38 GiB;iso;archive-Wii_ISO
ExciteBots - Trick Racing (USA).iso;https://archive.org/download/Wii_ISO/ExciteBots - Trick Racing (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Fire Emblem - Radiant Dawn (USA) (Rev 1).iso;https://archive.org/download/Wii_ISO/Fire Emblem - Radiant Dawn (USA) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Fishing Master (USA).iso;https://archive.org/download/Wii_ISO/Fishing Master (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Fishing Master World Tour (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Fishing Master World Tour (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Fishing Resort (USA).iso;https://archive.org/download/Wii_ISO/Fishing Resort (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Fortune Street (USA).iso;https://archive.org/download/Wii_ISO/Fortune Street (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Fragile Dreams - Farewell Ruins of the Moon (USA) (En,Ja,Fr).iso;https://archive.org/download/Wii_ISO/Fragile Dreams - Farewell Ruins of the Moon (USA) (En,Ja,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Go Vacation (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Go Vacation (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Gold's Gym - Cardio Workout (USA).iso;https://archive.org/download/Wii_ISO/Gold's Gym - Cardio Workout (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Gold's Gym - Dance Workout (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Gold's Gym - Dance Workout (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
House of the Dead 2 and 3 Return, The (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/House of the Dead 2 and 3 Return, The (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
House of the Dead, The - Overkill (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/House of the Dead, The - Overkill (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Just Dance 2019 (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Just Dance 2019 (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Just Dance 2020 (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Just Dance 2020 (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Just Dance 3 (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Just Dance 3 (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Just Dance 4 (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Just Dance 4 (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Kid Adventures - Sky Captain (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Kid Adventures - Sky Captain (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Kirby's Dream Collection - Special Edition (USA).iso;https://archive.org/download/Wii_ISO/Kirby's Dream Collection - Special Edition (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Kirby's Epic Yarn (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Kirby's Epic Yarn (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Kirby's Return to Dream Land (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Kirby's Return to Dream Land (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Little King's Story (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Little King's Story (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Lost in Shadow (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Lost in Shadow (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
MadWorld (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/MadWorld (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Kart Wii (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Mario Kart Wii (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Party 8 (USA) (Rev 1).iso;https://archive.org/download/Wii_ISO/Mario Party 8 (USA) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Party 9 (USA, Asia) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Mario Party 9 (USA, Asia) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Sports Mix (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Mario Sports Mix (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Strikers Charged (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Mario Strikers Charged (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Mario Super Sluggers (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Mario Super Sluggers (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Metroid - Other M (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Metroid - Other M (USA) (En,Fr,Es) (Rev 1).iso;7.93 GiB;iso;archive-Wii_ISO
Metroid Prime 3 - Corruption (USA).iso;https://archive.org/download/Wii_ISO/Metroid Prime 3 - Corruption (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Metroid Prime Trilogy (USA).iso;https://archive.org/download/Wii_ISO/Metroid Prime Trilogy (USA).iso;7.93 GiB;iso;archive-Wii_ISO
Monster Hunter Tri (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Monster Hunter Tri (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Munchables, The (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Munchables, The (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Muramasa - The Demon Blade (USA).iso;https://archive.org/download/Wii_ISO/Muramasa - The Demon Blade (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Mushroom Men - The Spore Wars (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Mushroom Men - The Spore Wars (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
New Play Control! Donkey Kong Jungle Beat (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/New Play Control! Donkey Kong Jungle Beat (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
New Play Control! Mario Power Tennis (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/New Play Control! Mario Power Tennis (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
New Play Control! Pikmin (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/New Play Control! Pikmin (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso;https://archive.org/download/Wii_ISO/New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).iso;4.38 GiB;iso;archive-Wii_ISO
Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
No More Heroes (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/No More Heroes (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
No More Heroes 2 - Desperate Struggle (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/No More Heroes 2 - Desperate Struggle (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Ookami (USA).iso;https://archive.org/download/Wii_ISO/Ookami (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Opoona (USA).iso;https://archive.org/download/Wii_ISO/Opoona (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Pandora's Tower (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Pandora's Tower (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Pikmin 2 (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Pikmin 2 (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Pitfall - The Big Adventure (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/Pitfall - The Big Adventure (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Prince of Persia - Rival Swords (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Prince of Persia - Rival Swords (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Prince of Persia - The Forgotten Sands (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Prince of Persia - The Forgotten Sands (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Punch-Out!! (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Rayman - Raving Rabbids (USA) (En,Fr,Es) (Rev 2).iso;https://archive.org/download/Wii_ISO/Rayman - Raving Rabbids (USA) (En,Fr,Es) (Rev 2).iso;4.38 GiB;iso;archive-Wii_ISO
Rayman - Raving Rabbids - TV Party (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Rayman - Raving Rabbids - TV Party (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Rayman - Raving Rabbids 2 (USA) (En,Fr,Es) (Rev 1).iso;https://archive.org/download/Wii_ISO/Rayman - Raving Rabbids 2 (USA) (En,Fr,Es) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Red Steel (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Red Steel (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Red Steel 2 (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Red Steel 2 (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Resident Evil - The Darkside Chronicles (USA).iso;https://archive.org/download/Wii_ISO/Resident Evil - The Darkside Chronicles (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Resident Evil - The Umbrella Chronicles (USA).iso;https://archive.org/download/Wii_ISO/Resident Evil - The Umbrella Chronicles (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Resident Evil 4 - Wii Edition (USA).iso;https://archive.org/download/Wii_ISO/Resident Evil 4 - Wii Edition (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Resident Evil Archives - Resident Evil (USA).iso;https://archive.org/download/Wii_ISO/Resident Evil Archives - Resident Evil (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Resident Evil Archives - Resident Evil Zero (USA).iso;https://archive.org/download/Wii_ISO/Resident Evil Archives - Resident Evil Zero (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Rhythm Heaven Fever (USA).iso;https://archive.org/download/Wii_ISO/Rhythm Heaven Fever (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Rodea the Sky Soldier (USA) (En,Ja,Fr,De).iso;https://archive.org/download/Wii_ISO/Rodea the Sky Soldier (USA) (En,Ja,Fr,De).iso;4.38 GiB;iso;archive-Wii_ISO
Sin & Punishment - Star Successor (USA).iso;https://archive.org/download/Wii_ISO/Sin & Punishment - Star Successor (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic & Sega All-Stars Racing (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Sonic & Sega All-Stars Racing (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic Colors (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Sonic Colors (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic Riders - Zero Gravity (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Sonic Riders - Zero Gravity (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic Unleashed (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Sonic Unleashed (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It).iso;https://archive.org/download/Wii_ISO/Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It).iso;4.38 GiB;iso;archive-Wii_ISO
Speed Racer - The Videogame (USA) (En,Fr,Es,Pt).iso;https://archive.org/download/Wii_ISO/Speed Racer - The Videogame (USA) (En,Fr,Es,Pt).iso;4.38 GiB;iso;archive-Wii_ISO
Spider-Man - Edge of Time (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/Spider-Man - Edge of Time (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Spider-Man - Friend or Foe (USA).iso;https://archive.org/download/Wii_ISO/Spider-Man - Friend or Foe (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Spider-Man - Shattered Dimensions (USA).iso;https://archive.org/download/Wii_ISO/Spider-Man - Shattered Dimensions (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Spider-Man - Web of Shadows (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/Spider-Man - Web of Shadows (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Spider-Man 3 (USA).iso;https://archive.org/download/Wii_ISO/Spider-Man 3 (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Star Wars - The Clone Wars - Lightsaber Duels (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/Star Wars - The Clone Wars - Lightsaber Duels (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Star Wars - The Clone Wars - Republic Heroes (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Star Wars - The Clone Wars - Republic Heroes (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Star Wars - The Force Unleashed (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/Star Wars - The Force Unleashed (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
Star Wars - The Force Unleashed II (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Star Wars - The Force Unleashed II (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Super Mario All-Stars (USA).iso;https://archive.org/download/Wii_ISO/Super Mario All-Stars (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Super Mario Galaxy (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Super Mario Galaxy (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Super Mario Galaxy 2 (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Super Mario Galaxy 2 (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Super Paper Mario (USA) (Rev 2).iso;https://archive.org/download/Wii_ISO/Super Paper Mario (USA) (Rev 2).iso;4.38 GiB;iso;archive-Wii_ISO
Super Smash Bros. Brawl (USA) (Rev 2).iso;https://archive.org/download/Wii_ISO/Super Smash Bros. Brawl (USA) (Rev 2).iso;7.93 GiB;iso;archive-Wii_ISO
Tatsunoko vs. Capcom - Ultimate All-Stars (USA).iso;https://archive.org/download/Wii_ISO/Tatsunoko vs. Capcom - Ultimate All-Stars (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Victorious Boxers - Revolution (USA).iso;https://archive.org/download/Wii_ISO/Victorious Boxers - Revolution (USA).iso;4.38 GiB;iso;archive-Wii_ISO
WWE All Stars (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/WWE All Stars (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Wario Land - Shake It! (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Wario Land - Shake It! (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
WarioWare - Smooth Moves (USA).iso;https://archive.org/download/Wii_ISO/WarioWare - Smooth Moves (USA).iso;4.38 GiB;iso;archive-Wii_ISO
Wii Party (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Wii Party (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Wii Play (USA) (Rev 1).iso;https://archive.org/download/Wii_ISO/Wii Play (USA) (Rev 1).iso;4.38 GiB;iso;archive-Wii_ISO
Wii Play - Motion (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Wii Play - Motion (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Wii Sports + Wii Sports Resort (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Wii Sports + Wii Sports Resort (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
Xenoblade Chronicles (USA, Asia) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/Xenoblade Chronicles (USA, Asia) (En,Fr,Es).iso;7.93 GiB;iso;archive-Wii_ISO
Zack & Wiki - Quest for Barbaros' Treasure (USA).iso;https://archive.org/download/Wii_ISO/Zack & Wiki - Quest for Barbaros' Treasure (USA).iso;4.38 GiB;iso;archive-Wii_ISO
de Blob (USA) (En,Fr,Es).iso;https://archive.org/download/Wii_ISO/de Blob (USA) (En,Fr,Es).iso;4.38 GiB;iso;archive-Wii_ISO
de Blob 2 (USA) (En,Fr).iso;https://archive.org/download/Wii_ISO/de Blob 2 (USA) (En,Fr).iso;4.38 GiB;iso;archive-Wii_ISO
