path;link;size;format;origem
007 Quantum of Solace [RJ2E52].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/007%20Quantum%20of%20Solace%20%5BRJ2E52%5D.wbfs;2.6 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
10 Minute Solution [SM2E52].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/10%20Minute%20Solution%20%5BSM2E52%5D.wbfs;1.0 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
101-in-1 Party Megamix [RYEEEB].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/101-in-1%20Party%20Megamix%20%5BRYEEEB%5D.wbfs;2.5 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
101-in-1 Sports [SOIEEB].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/101-in-1%20Sports%20%5BSOIEEB%5D.wbfs;2.5 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
2010 FIFA World Cup South Africa [SFWE69].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/2010%20FIFA%20World%20Cup%20South%20Africa%20%5BSFWE69%5D.wbfs;3.0 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
A Boy and His Blob [SBLE5G].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/A%20Boy%20and%20His%20Blob%20%5BSBLE5G%5D.wbfs;1.1 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
ABBA - You Can Dance [S2EE41].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/ABBA%20-%20You%20Can%20Dance%20%5BS2EE41%5D.wbfs;3.6 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
AC DC Live Rock Band Track Pack [R33E69].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/AC%20DC%20Live%20Rock%20Band%20Track%20Pack%20%5BR33E69%5D.wbfs;2.6 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
AFL Live [SS6UHS].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/AFL%20Live%20%5BSS6UHS%5D.wbfs;1.9 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
AMF Bowling Pinbusters! [RMFE68].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/AMF%20Bowling%20Pinbusters%21%20%5BRMFE68%5D.wbfs;134.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
AMF Bowling World Lanes [R6WE68].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/AMF%20Bowling%20World%20Lanes%20%5BR6WE68%5D.wbfs;424.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
ATV Quad Kings R47E20.wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/ATV%20Quad%20Kings%20R47E20.wbfs;344.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Academy of Champions- Soccer [R5FE41].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Academy%20of%20Champions-%20Soccer%20%5BR5FE41%5D.wbfs;1.5 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Action Girlz Racing [RGYE5Z].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Action%20Girlz%20Racing%20%5BRGYE5Z%5D.wbfs;82.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Active Life - Explorer [S2AEAF].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Active%20Life%20-%20Explorer%20%5BS2AEAF%5D.wbfs;2.9 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Active Life - Extreme Challenge [REJEAF].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Active%20Life%20-%20Extreme%20Challenge%20%5BREJEAF%5D.wbfs;1.2 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Active Life - Magic Carnival [SFDEAF].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Active%20Life%20-%20Magic%20Carnival%20%5BSFDEAF%5D.wbfs;2.4 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Active Life - Outdoor Challenge [RFAEAF].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Active%20Life%20-%20Outdoor%20Challenge%20%5BRFAEAF%5D.wbfs;580.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Agatha Christie- Evil under the Sun [RQEE6U].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Agatha%20Christie-%20Evil%20under%20the%20Sun%20%5BRQEE6U%5D.wbfs;2.2 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Aladdin Magic Racer [SARE4Z].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Aladdin%20Magic%20Racer%20%5BSARE4Z%5D.wbfs;564.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alice in Wonderland [SALE4Q].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alice%20in%20Wonderland%20%5BSALE4Q%5D.wbfs;3.4 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alien Monster Bowling League [SABENR].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alien%20Monster%20Bowling%20League%20%5BSABENR%5D.wbfs;2.2 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alien Syndrome [RLSE8P].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alien%20Syndrome%20%5BRLSE8P%5D.wbfs;1.4 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Aliens in the Attic [RUOEPL].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Aliens%20in%20the%20Attic%20%5BRUOEPL%5D.wbfs;1.6 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
All Star Cheer Squad 2 [R5YE78].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/All%20Star%20Cheer%20Squad%202%20%5BR5YE78%5D.wbfs;3.7 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
All Star Cheer Squad [RCXE78].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/All%20Star%20Cheer%20Squad%20%5BRCXE78%5D.wbfs;3.1 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Allstar Karate [SKTE78].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Allstar%20Karate%20%5BSKTE78%5D.wbfs;1.6 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alone in the Dark [RRKE70].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alone%20in%20the%20Dark%20%5BRRKE70%5D.wbfs;3.9 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alvin and the Chipmunks - Chipwrecked [SA3E5G].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alvin%20and%20the%20Chipmunks%20-%20Chipwrecked%20%5BSA3E5G%5D.wbfs;760.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alvin and the Chipmunks [RVBERS].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alvin%20and%20the%20Chipmunks%20%5BRVBERS%5D.wbfs;2.1 GiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
Alvin and the Chipmunks- The Squeakquel [SAVE5G].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/Alvin%20and%20the%20Chipmunks-%20The%20Squeakquel%20%5BSAVE5G%5D.wbfs;654.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
America's Next Top Model [R6ME5Z].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/America%27s%20Next%20Top%20Model%20%5BR6ME5Z%5D.wbfs;718.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
American Mensa Academy [SSMEYG].wbfs;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/WiiRomSetByGhostware/American%20Mensa%20Academy%20%5BSSMEYG%5D.wbfs;274.0 MiB;WBFS;https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada
