path;link;size;format;origem
$1,000,000 Pyramid, The (USA).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/%241%2C000%2C000%20Pyramid%2C%20The%20%28USA%29.zip;294.0 MiB;ZIP;https://myrient.erista.me/files/Redump
007 - Nagusame no Houshuu (Japan).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/007%20-%20Nagusame%20no%20Houshuu%20%28Japan%29.zip;2.0 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (Europe) (En,Fr,De,Es,It).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/007%20-%20Quantum%20of%20Solace%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;3.3 GiB;ZIP;https://myrient.erista.me/files/Redump
007 - Quantum of Solace (USA) (En,Fr).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/007%20-%20Quantum%20of%20Solace%20%28USA%29%20%28En%2CFr%29.zip;2.5 GiB;ZIP;https://myrient.erista.me/files/Redump
10 Minute Solution (Europe) (En,Fr,De,Es,It).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/10%20Minute%20Solution%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip;1.2 GiB;ZIP;https://myrient.erista.me/files/Redump
10 Minute Solution (USA) (En,Fr).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/10%20Minute%20Solution%20%28USA%29%20%28En%2CFr%29.zip;1.1 GiB;ZIP;https://myrient.erista.me/files/Redump
101-in-1 Party Megamix (USA) (En,Fr,Es).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/101-in-1%20Party%20Megamix%20%28USA%29%20%28En%2CFr%2CEs%29.zip;1.4 GiB;ZIP;https://myrient.erista.me/files/Redump
101-in-1 Party Megamix Wii (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/101-in-1%20Party%20Megamix%20Wii%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29%20%28Rev%201%29.zip;1.4 GiB;ZIP;https://myrient.erista.me/files/Redump
101-in-1 Party Megamix Wii (Europe) (En,Fr,De,Es,It,Nl).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/101-in-1%20Party%20Megamix%20Wii%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip;1.4 GiB;ZIP;https://myrient.erista.me/files/Redump
101-in-1 Sports Party Megamix (Europe) (En,Fr,De,Es,It,Nl).zip;https://myrient.erista.me/files/Redump/Nintendo%20-%20Wii%20-%20NKit%20RVZ%20[zstd-19-128k]/101-in-1%20Sports%20Party%20Megamix%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip;1.3 GiB;ZIP;https://myrient.erista.me/files/Redump
